product_id,name,ingredients,flavor_rating,price,rating,price_num,goals,wellness_goal,score
P00001,whey protein,,0,$19.99,0,19.99,General,muscle_gain_energy,0.0
P00002,whey protein,,0,$19.99,0,19.99,General,muscle_gain_energy,0.0
P00003,whey protein,,0,$19.99,0,19.99,General,muscle_gain_energy,0.0
P00004,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00005,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00006,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00007,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00008,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00009,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00010,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00011,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00012,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00013,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00014,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00015,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00016,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00017,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00018,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00019,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00020,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00021,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00022,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00023,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00024,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00025,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00026,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00027,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00028,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00029,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00030,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00031,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00032,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00033,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00034,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00035,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00036,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00037,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00038,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00039,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00040,whey protein,,0,$59.99,0,59.99,General,muscle_gain_energy,0.0
P00041,whey protein,,0,$12.99,0,12.99,General,muscle_gain_energy,0.14
P00042,whey protein,,0,$115.99,0,115.99,General,muscle_gain_energy,0.0
P00043,whey protein,,0,$115.99,0,115.99,General,muscle_gain_energy,0.0
P00044,whey protein,,0,$115.99,0,115.99,General,muscle_gain_energy,0.0
P00045,whey protein,,0,$115.99,0,115.99,General,muscle_gain_energy,0.0
P00046,whey protein,,0,$115.99,0,115.99,General,muscle_gain_energy,0.0
P00047,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00048,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00049,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00050,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00051,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00052,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00053,whey protein,,0,$34.99,0,34.99,General,muscle_gain_energy,0.0
P00054,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00055,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00056,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00057,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00058,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00059,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00060,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00061,whey protein,,0,$56.98,0,56.98,General,muscle_gain_energy,0.0
P00062,whey protein,,0,$20.24,0,20.24,General,muscle_gain_energy,0.0
P00063,whey protein,,0,$20.24,0,20.24,General,muscle_gain_energy,0.0
P00064,whey protein,,0,$20.24,0,20.24,General,muscle_gain_energy,0.0
P00065,whey protein,,0,$20.24,0,20.24,General,muscle_gain_energy,0.0
P00066,whey protein,,0,$37.49,0,37.49,General,muscle_gain_energy,0.0
P00067,whey protein,,0,$37.49,0,37.49,General,muscle_gain_energy,0.0
P00068,whey protein,,0,$37.49,0,37.49,General,muscle_gain_energy,0.0
P00069,whey protein,,0,$37.49,0,37.49,General,muscle_gain_energy,0.0
P00070,whey protein,,0,$37.49,0,37.49,General,muscle_gain_energy,0.0
P00071,whey protein,,0,$3.74,0,3.74,General,muscle_gain_energy,0.325
P00072,whey protein,,0,$3.74,0,3.74,General,muscle_gain_energy,0.325
P00073,whey protein,,0,$3.74,0,3.74,General,muscle_gain_energy,0.325
P00074,whey protein,,0,$3.74,0,3.74,General,muscle_gain_energy,0.325
P00075,whey protein,,0,$24.99,0,24.99,General,muscle_gain_energy,0.0
P00076,whey protein,,0,$24.99,0,24.99,General,muscle_gain_energy,0.0
P00077,whey protein,,0,$24.99,0,24.99,General,muscle_gain_energy,0.0
P00078,whey protein,,0,$24.99,0,24.99,General,muscle_gain_energy,0.0
P00079,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00080,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00081,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00082,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00083,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00084,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00085,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00086,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00087,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00088,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00089,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00090,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00091,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00092,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00093,whey protein,,0,$29.99,0,29.99,General,muscle_gain_energy,0.0
P00094,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00095,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00096,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00097,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00098,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00099,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00100,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00101,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00102,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00103,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00104,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00105,whey protein,,0,$48.99,0,48.99,General,muscle_gain_energy,0.0
P00106,whey protein,,0,$99.99,0,99.99,General,muscle_gain_energy,0.0
P00107,whey protein,,0,$99.99,0,99.99,General,muscle_gain_energy,0.0
P00108,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00109,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00110,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00111,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00112,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00113,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00114,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00115,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00116,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00117,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
P00118,whey protein,,0,$32.99,0,32.99,General,muscle_gain_energy,0.0
